name,score,document_length,url_count,dram,flash,led,memory,sram
Siliconware Precision Industries (ADR),0.005959703499367209,3373,4,0,1,3,4,0
"KAULIN MANUFACTURING CO., LTD.",0.005767067637385591,4968,4,8,1,5,0,0
"ThinTech Materials Technology Co., Ltd.",0.005744813855073675,4438,3,8,0,3,0,0
"Taiwan Oasis Technology Co., Ltd.",0.00571621006912271,3702,9,9,0,167,0,0
KUEN CHAANG UPPERTECH CORP.,0.00569810424852027,5452,8,0,2,4,9,0
POET Technologies Inc,0.005659536713442491,15518,8,4,1,56,10,1
"FOCI Fiber Optic Communications, Inc.",0.0055091891111490226,2529,1,8,0,1,0,0
Lung Lung Pien Vacuum Industry Co Ltd,0.0054914168898762316,2871,1,8,0,1,0,0
NVE Corp,0.005217273740534051,3978,6,0,0,7,8,0
"Tamul Multimedia Co., Ltd",0.005050079009538533,3169,4,0,3,1,3,0
King Core Electronics Inc.,0.0049696349579317085,2405,2,8,0,2,0,0
TM Technology Inc,0.004968132268876871,2763,7,0,1,14,1,1
"Solid State System Co., Ltd",0.004817668635552973,2052,8,0,19,2,2,0
Harvatek Corporation,0.0048024183518115575,2712,12,0,23,106,0,0
"Para Light Electronics Co., Ltd",0.004749458202525345,5380,9,8,0,63,0,0
NIIME i Mikron OAO,0.004545123267131778,3678,2,0,1,5,1,1
Jubilee Industries Holdings Ltd,0.004544206521047032,2425,4,0,1,4,3,0
"Subtron Technology Co., Ltd.",0.004506348923966008,3857,4,8,0,4,0,0
Advanced Digital Chips Inc,0.004504122268217234,2983,4,0,1,1,4,0
"Holy Stone Enterprise Co., Ltd.",0.004431736110952081,6074,9,8,1,29,0,0
"Universal Microwave Technology, Inc.",0.004373493430168586,2586,2,8,0,2,0,0
Inventec Besta Co Ltd,0.004345276079759367,3883,3,8,1,2,0,0
Ryoyo Electro Corp,0.004345005154376585,4626,4,0,1,4,5,0
MegaChips Corporation,0.004206759267369188,4178,3,1,1,5,3,0
CX Technology Corp,0.004139001181447747,3063,2,8,0,2,0,0
Daiwa Associate Holdings Limited,0.0041252942894364625,3282,3,0,0,4,4,0
ProLight Opto Technology Corp,0.0040101381779144305,2023,9,1,9,109,0,0
Silitech Technology Corporation,0.003962806083259912,2812,2,8,0,2,0,0
Mirae Corp,0.003940116813658893,2835,5,0,2,10,4,0
S.A.S. Dragon Holdings Limited,0.003797341427536436,5172,5,0,0,18,6,0
Eris Technology Corp,0.003789886377208497,5668,11,8,0,26,0,0
"Soaring Technology Co., Ltd.",0.003640545612845617,3432,3,9,0,2,0,0
"Makus, Inc.",0.0035923140052835237,4075,7,0,0,2,8,0
"Taiwan Chi Cheng Enterprise Co.,Ltd",0.003550164549727029,3119,2,8,0,2,0,0
"Mitsui High-tec, Inc.",0.00350220086584604,2649,8,3,1,9,0,0
FORTEC Elektronik AG,0.0034861515827360836,3859,3,0,0,7,4,0
Green World Hotels Co Ltd,0.0034693195387278286,4217,1,8,0,1,0,0
Tokyo Electron Ltd,0.0033352913465587012,5978,6,2,1,9,3,0
"U.I. Display Co., Ltd.",0.003227595296786509,7003,5,0,1,12,4,0
Silicon Laboratories,0.0031531124361857846,8027,12,0,4,24,4,0
ISC Co Ltd,0.00314911731975845,2665,4,0,1,2,3,0
Semiconductor Manufacturing Int'l (ADR),0.0031262135637956335,3740,6,1,5,1,1,0
AIXTRON SE (ADR),0.0031178819677444417,3710,5,2,1,13,2,0
Single Well Industrial Corp,0.003111752224856866,2693,5,1,4,26,0,0
Taiwan Semiconductor Mfg. Co. Ltd.,0.003048889340684147,10742,8,1,2,19,5,0
Tokyo Electron Device Ltd,0.0029479333418032266,4502,3,0,1,4,3,0
Plan Optik AG,0.002926706254885721,5078,6,3,0,9,0,1
Finisar Corporation,0.002893664070701045,7209,7,0,0,16,4,1
Donpon Precision Inc.,0.0028098372532240406,4395,2,8,0,2,0,0
"EO Technics Co., Ltd.",0.002773212286781011,3293,7,0,2,9,3,0
Trais Co Ltd,0.002731037798464527,4259,7,0,12,14,0,0
TE Connectivity Ltd,0.002650389402029443,6681,8,0,0,20,6,0
BOS Better OnLine Sol (USA),0.002639124667640484,2991,5,1,4,7,0,0
TXC Corporation,0.0026129568181714195,4843,9,0,0,26,5,0
Uniquest Corporation,0.0025895372630542935,2160,6,0,1,5,2,0
Celestica Inc,0.002558272725722258,4045,4,0,0,10,3,0
Dialight Plc,0.002538964670865384,11575,12,5,9,396,0,0
D & O Green Technologies Bhd,0.002510237480830506,3921,6,0,1,9,0,1
"MAXTEK TECHNOLOGY CO., LTD.",0.002484504157966927,1697,4,0,1,3,1,0
Pixelplus Co Ltd,0.002379199661566176,4392,5,2,1,7,2,0
"V-Tac Technology Co., Ltd.",0.0023758761755912116,3877,5,0,0,169,3,0
AUK Corp,0.0023401604670797737,2816,8,0,0,58,3,0
ELMOS Semiconductor AG,0.002211022696232551,1535,6,0,2,12,1,0
Frencken Group Limited,0.002200394321346908,2066,6,0,6,5,0,0
ARM Holdings plc,0.0021210117499568127,8949,12,0,2,29,5,0
SemiLEDs Corporation,0.0020671373459420495,4464,11,0,5,231,1,0
Resonant Inc,0.0019434832995962744,4854,5,1,1,10,2,0
"Excel Cell Electronic Co., Ltd.",0.0019333620370202303,3421,5,0,0,37,3,0
Chander Electronics Corp.,0.0019067083640501006,2325,4,0,0,2,3,0
"Shinko Shoji Co., Ltd.",0.0018685103485548938,4467,4,0,1,1,3,0
"Actions Semiconductor Co., Ltd. (ADR)",0.0018153168936554732,5402,7,0,4,17,2,0
Laird PLC,0.0017563967504911021,10573,7,0,20,9,0,0
Willas-Array Electronics (Holdings) Ltd,0.001734848761045445,2535,4,0,1,5,1,0
Alphachips Corp,0.0016770939041726276,4019,6,0,1,7,2,0
"Daito Electron Co., Ltd.",0.001665255426595517,2678,5,0,1,12,2,0
Phoenix Materials Co Ltd,0.0016517166691365367,3407,3,0,1,7,2,0
ASMedia Technology Inc,0.0016406888547418864,3696,3,0,0,5,3,0
ARM Holdings plc (ADR),0.0016109578227574148,3195,6,0,2,10,2,0
Microsemi Corporation,0.0016029411458658893,9805,6,0,8,19,2,0
Siltronic AG,0.001554908797000394,3640,4,1,0,11,1,0
Circuit Electronic Industries PCL,0.0015506105795143272,6924,8,0,3,25,1,0
Shunsin Technology Holdings Ltd,0.0015121873452822866,3412,5,1,2,1,2,0
Info-Tek Corporation,0.0014559767671045482,2685,4,0,1,5,1,0
Alliance Fiber Optic Products Inc,0.001438274154138213,7585,7,2,2,20,0,1
Heres Technology BJ Co Ltd,0.0014335176609639169,11009,5,0,4,30,2,0
Hutchinson Technology Incorporated,0.00139336513203036,2638,7,0,1,9,1,0
centrotherm photovoltaics AG,0.0013412504352713329,2486,4,0,1,4,1,0
SINGULUS TECHNOLOGIES  AG,0.0013405588827291488,2875,6,0,1,9,1,0
Excel Co Ltd,0.0013123087187441901,2932,7,0,1,14,1,0
Edom Technology Co Ltd,0.0012695065769549715,3350,4,0,2,3,2,0
AXELL CORPORATION,0.001216149092089694,2141,5,0,0,7,2,0
Dragon Group International Limited,0.0011627435616345892,3399,4,0,1,3,1,0
Petrosetco Distribution Joint Stock Co,0.001160315481877714,2412,3,0,0,5,2,0
Canon Electronics Inc,0.001122210031842959,1964,3,0,3,4,0,0
Comintel Corporation Berhad,0.001115048644493467,6081,8,0,6,8,0,0
Yleiselektroniikka Oyj,0.001102869159387314,3558,4,0,3,24,0,0
Jorjin Technologies Inc,0.0010279335456922906,1919,4,0,0,4,1,0
Salora International Ltd,0.0010082476551880144,3466,5,0,0,15,2,0
LITE-ON JAPAN LTD.,0.0009746208436201657,3737,5,0,2,4,2,0
Pulse Electronics Corp,0.0009703277002652761,3020,5,0,0,5,2,0
"G-Shank Enterprise Co.,Ltd.",0.0009335383591627848,2461,4,0,0,3,1,0
Hirata Corp,0.0009187632658361284,2370,8,0,6,2,0,0
SUN-WA TECHNOS CORPORATION,0.000915879731073538,2436,3,0,0,5,1,0
Sumco Corp,0.0009056074727952356,2335,4,0,0,8,1,0
Applied Optoelectronics Inc,0.0008784797174729507,4003,5,0,0,9,2,0
Xintec Inc,0.0008674351574855316,2153,3,0,1,2,1,0
Taiwan Semiconductor Mfg. Co. Ltd. (ADR),0.000856734587567765,7988,4,0,1,6,2,0
Electronics Industry Public Company Ltd.,0.0007863250719658256,2901,3,0,1,1,1,0
Supercom Ltd,0.0007811733326334746,5490,5,0,4,6,0,0
Intersil Corp,0.0007762306844355551,4096,5,0,0,11,2,0
Mobicon Group Limited,0.0007334873412977323,4576,9,0,2,13,1,0
Kopin Corporation,0.0007141386037888528,3301,5,0,0,28,1,0
"SANSHIN ELECTRONICS CO., LTD.",0.000713282450082806,1851,2,0,3,0,0,0
CTS Corporation,0.0007092808754807402,3080,5,0,0,10,1,0
Suzhou Chunxing Precision Mechncl Co Ltd,0.0006978809437843614,2757,2,1,1,0,0,0
UniPixel Inc,0.0006958163641013223,6931,9,0,2,18,2,0
Imagis Co Ltd,0.0006640599366220235,1703,2,0,0,1,1,0
Infineon Technologies AG (ADR),0.0006578058804294909,6173,5,0,4,7,0,0
Realtek Semiconductor Corp.,0.0006517478189486088,4355,6,0,1,10,1,0
LGL Group Inc,0.0006444757366880005,3335,5,0,3,15,0,0
Biemt Co Ltd,0.000639864402058915,3027,4,0,0,6,1,0
Taiwan Kong King Co Ltd,0.0006194151460142277,3309,2,1,0,6,0,0
"FINE TECHNIX CO.,LTD",0.0006023722382035963,1321,4,0,1,38,0,0
TerraSem Co Ltd,0.0006004408888628341,4530,5,0,0,14,1,0
Aurotek Corp,0.0005972061680024643,5965,6,0,2,5,2,0
"Richardson Electronics, Ltd.",0.0005905957650420138,5481,4,0,0,10,2,0
Universal Scientfc Industrl Shngh Co Ltd,0.0005388389617850417,3727,7,0,5,2,0,0
"Taiwan Semiconductor Co., Ltd.",0.0005142684732251874,5550,5,0,0,15,1,0
"ICK Co., Ltd.",0.00048020190578349685,2844,2,0,0,1,1,0
Semiconductor Manufacturing Int'l,0.0004758304690743889,5602,4,0,3,5,0,0
Crystal Applied Technology Inc.,0.0004659250330584625,5315,7,1,0,121,0,0
CDW Holding Limited,0.0004624493925390666,4700,5,1,0,6,0,0
"Integrated Micro-Electronics, Inc.",0.0004558712099063217,5444,2,0,0,7,1,0
International Standard Resrcs Hldgs Ltd,0.0004414084273624371,3700,2,0,0,1,1,0
"KAGA ELECTRONICS CO., LTD.",0.00043063799209910463,3524,4,0,1,2,1,0
"KITAGAWA INDUSTRIES CO.,LTD.",0.00041361541647959874,5364,3,0,0,6,1,0
Mustang Industrial Corp,0.000412350709861799,6021,5,1,0,41,0,0
Astra Microwave Products Limited,0.0004058750986891129,6600,6,2,0,8,0,0
DID Corporation,0.000401973562338653,10702,3,1,1,53,0,0
Foshan Nationstar Optoelectronics Co Ltd,0.0003851601927502437,2640,10,0,1,171,0,0
"SHOWA SHINKU CO.,LTD.",0.0003844665353493829,4507,6,1,0,6,0,0
TCL Display Technology Holdings Ltd,0.0003844016301564422,6733,5,0,0,12,1,0
"Samsung Electro-Mechanics Co., Ltd.",0.000381246377127861,6969,5,0,0,10,1,0
Tes Co Ltd,0.00037743366468504576,2315,4,0,1,7,0,0
Ledman Optoelectronic Co Ltd,0.0003730717134569672,2808,7,0,1,132,0,0
Astra Microwave Products Ltd (Parent),0.0003527432057514147,7841,6,2,0,8,0,0
Exar Corporation,0.00035026327254756326,36558,6,1,1,70,2,0
LED International Holdings Ltd.,0.00032845873041964535,3922,8,0,1,160,0,0
Shanghai Aero Auto Electromechanical,0.00032446695003798094,3009,4,0,2,15,0,0
Vicor Corp,0.000320732677594408,44769,14,1,1,278,2,2
Seiko Holdings Corp,0.00031828223886870327,6607,8,2,0,22,0,0
Brightking Holdings Ltd,0.0003160964418297762,1271,1,0,1,1,0,0
U-Tech Co Ltd,0.00031227790912790953,4913,2,0,2,4,0,0
R. H. Technologies Ltd.,0.0003067215712091918,2224,6,0,1,7,0,0
Milacron Holdings Corp,0.0002998004048488264,5893,5,1,0,12,0,0
"Irico Display Devices Co., Ltd.",0.0002995796502637108,1998,5,0,1,7,0,0
"Trust-Search Corp.,Ltd.",0.0002911428839319499,4473,2,0,0,1,1,0
REC Solar ASA,0.0002802677486857008,4178,5,1,0,11,0,0
API Technologies Corp,0.000280219869717654,7121,11,0,0,15,1,0
Zhejiang Crystal Optech Co Ltd,0.00027894680097628803,3640,7,0,2,14,0,0
Zhejiang East Crystal Electronic Co Ltd,0.00027795105440967064,2081,4,0,1,8,0,0
Dongxu Optoelectronic Technology Co Ltd,0.00027314704054150343,2712,4,0,1,23,0,0
Martifer SGPS SA,0.0002700169809751597,2663,3,0,1,3,0,0
Mcnex Co Ltd,0.00026680269454901656,1951,2,0,1,5,0,0
Chaozhou Three-circle Group Co Ltd,0.0002659745910112779,1984,2,0,1,3,0,0
Shenzhen Refond Optoelectronics,0.00025771162154870924,2886,9,0,1,46,0,0
"Hangzhou Silan Microelectronics Co., Ltd",0.00025589732846339867,2857,5,0,1,22,0,0
STG International Ltd.,0.0002547408286741457,2933,4,0,1,5,0,0
Shenzhen Everwin Precision Technology Co,0.0002458204370531453,2144,5,0,1,10,0,0
Venture Corporation Ltd,0.0002445572567021059,2488,5,0,1,5,0,0
Daejoo Electronic Materials Co Ltd,0.00024355458199881873,2955,4,0,1,6,0,0
APIC YAMADA CORPORATION,0.00023437823117618525,2301,3,0,1,6,0,0
Aac Technologies Holdings Inc,0.00022452328423731697,2811,3,0,1,3,0,0
"SUNG-WOO ELECTRONICS CO., LTD",0.00021508025019646013,2662,4,0,1,3,0,0
Lms Co Ltd,0.00021007850456156784,3379,5,0,1,7,0,0
"TAKACHIHO KOHEKI CO., LTD.",0.00019755305062254248,3495,5,0,1,9,0,0
"NITTOKU ENGINEERING CO., LTD.",0.00019322276511662492,3462,4,0,1,5,0,0
EACO Corp,0.00019300291176673864,3659,4,0,1,5,0,0
UR Holding SpA,0.00019132211199343732,3718,7,0,1,9,0,0
Kuroda Electric Co Ltd,0.00018859147445243624,1932,2,0,1,1,0,0
Video Display Corporation,0.00018746323617475723,2954,4,0,1,3,0,0
Korea Computer Inc,0.00018569296022379834,2626,1,0,1,1,0,0
"Shenzhen Sed Industry Co., Ltd",0.00018373958789540926,3495,5,0,1,8,0,0
Perfect Optronics Ltd,0.00017905177026836166,3692,3,0,1,4,0,0
Pixelplus Co Ltd (Parent),0.0001777619833004889,6627,6,0,2,21,0,0
C-MEDIA ELECTRONICS INC.,0.0001752860210504681,9478,8,1,0,7,0,0
"Solitron Devices, Inc.",0.00017275043061564365,4267,3,0,1,7,0,0
Jolywood Suzhou Sunwatt Co Ltd,0.00017130702978176429,2206,2,0,1,1,0,0
TRINITY INDUSTRIAL CORP.,0.00017126541445115388,983,1,0,1,0,0,0
China Zhenhua (Group) Science & Tech.,0.00016891059529346378,4278,5,0,1,9,0,0
Jih Lin Technology Co Ltd,0.00016800701099669782,3876,3,0,1,3,0,0
ITE Tech. Inc.,0.00016378965166531393,2263,2,0,1,1,0,0
Sun.King Power Electronics Group Ltd,0.0001627918546861227,4349,3,0,1,4,0,0
Leaguer Stock Co Ltd,0.00016148988966074954,3873,4,0,1,5,0,0
"Entropic Communications, Inc.",0.00015910250168876355,7595,7,0,2,16,0,0
Strongunion Technology Co Ltd,0.00015822457079556746,3807,4,0,1,13,0,0
Shengyi Technology Co Ltd,0.00014258278390319435,3122,2,0,1,1,0,0
"Inabata & Co., Ltd.",0.00013031761011462873,4943,7,0,1,18,0,0
INESA Electron Co Ltd,0.00012331619724231278,5043,5,0,1,7,0,0
"Shenzhen O-film Tech Co., Ltd.",0.0001230403796093834,1350,1,0,1,0,0,0
UMS Holdings Limited,0.00011666090637934713,7436,3,0,1,3,0,0
"Rubicon Technology, Inc.",0.00011584546928054721,7257,9,0,2,32,0,0
BOE Technology Group Co. Ltd,0.00011489466594117537,4384,6,0,1,11,0,0
"ZHONGYEDA ELECTRIC CO.,LTD.",0.00011289898467898683,3370,2,0,1,1,0,0
Advanced Systems Automation Limited,0.00010726103901674695,8508,3,0,1,3,0,0
