,name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
33,"Osaki Engineering Co., Ltd.",0.10450122923491004,3917,5,0,3,2,0,1,3,10,0
34,AIXTRON SE (ADR),0.0956032111801437,4107,7,0,0,0,4,0,0,13,0
35,Ishii Hyoki Co Ltd,0.09276733629896351,3055,8,1,0,1,0,4,2,16,1
36,Chime Ball Technology Co Ltd,0.08488743087412504,4585,5,0,0,0,0,4,2,15,3
37,"SHINSUNG FA CO., LTD.",0.08455069762631534,3360,5,0,5,9,0,0,0,19,1
38,"SHOWA SHINKU CO.,LTD.",0.07864763987354086,3055,3,0,0,0,0,0,0,4,3
39,Meere Company Inc,0.0781577490377328,2865,8,0,0,0,4,0,0,20,2
40,Jastech Ltd,0.0764257963676103,2785,5,0,0,0,0,0,0,7,2
41,Contrel Technology Co Ltd,0.07003445762962716,2565,4,0,0,0,1,0,0,12,1
42,centrotherm photovoltaics AG,0.06833464624989397,2299,3,0,0,2,0,2,0,10,0
43,"TOPGREEN TECHNOLOGY CO.,LTD",0.06648096859134811,3929,2,0,0,0,0,4,1,0,0
44,"HIRANO TECSEED Co., Ltd.",0.06489769503803172,5214,3,0,0,0,0,1,4,0,0
45,Kodi M Co Ltd,0.06299991475526093,2857,6,0,2,5,0,0,0,18,0
46,Taiwan Kong King Co Ltd,0.06279463561643019,7605,9,0,0,1,0,16,4,15,0
47,Precisetech Networks Beijing Inc,0.06181086388744344,201222,1,88,0,4,6,46,5,50,39
48,Tex Holdings plc,0.061089659789714076,1813,1,0,0,0,1,0,0,0,0
49,STI Co Ltd,0.05839897779731248,2102,4,0,0,6,0,1,0,17,0
50,SINGULUS TECHNOLOGIES  AG,0.05527318964075376,3602,8,0,0,0,4,0,0,20,0
51,Asia Tele-Net & Technology Corporation,0.054824678643631136,3123,2,0,0,0,0,0,2,0,0
52,Screen Holdings Co Ltd,0.051746603907394946,3882,11,0,3,5,0,3,4,33,0
53,Max Automation AG,0.05080071557569246,2794,1,0,0,0,1,0,0,0,0
54,"EO Technics Co., Ltd.",0.049286034667006026,2563,8,0,0,2,0,23,0,29,0
55,Lung Lung Pien Vacuum Industry Co Ltd,0.04920799378683492,2841,1,0,0,0,1,0,0,0,0
56,Tokyo Electron Ltd,0.047062878995930306,5943,13,2,14,7,0,0,0,53,0
57,DA Technology Co Ltd,0.04425958992681371,4037,2,0,1,2,0,0,0,2,0
58,Hirata Corp,0.04369962833872875,2369,5,0,0,2,0,0,0,7,0
59,Japan Steel Works Ltd,0.04287836407498225,3645,1,0,1,1,0,0,0,1,0
60,Protec Co Ltd,0.04068440990632517,1596,4,0,0,0,0,1,0,10,0
61,Equis N Zaroo Co Ltd,0.04068366231995238,8855,2,0,0,0,0,1,4,2,0
62,Zeus Co Ltd,0.0398731037007232,2585,5,0,1,7,0,0,0,24,0
63,Sntek Co Ltd,0.038877795707390354,2279,5,0,0,0,0,0,0,12,1
64,Rorze Systems Corporation,0.03719993661876331,1715,6,0,0,2,0,0,0,16,0
65,Tes Co Ltd,0.03684865443004497,2313,3,0,0,1,0,0,0,5,0
66,Vessel Co Ltd,0.03519099653982596,5143,2,0,1,2,0,0,0,5,0
67,Guangdong Zhengye Technology Co Ltd,0.03169731941928723,5305,7,0,0,0,0,46,0,0,0
68,DISCO CORPORATION,0.031361179630881635,4081,6,0,2,0,1,0,0,20,0
69,Single Well Industrial Corp,0.030516048385286692,3436,7,0,0,0,1,0,0,14,0
70,AIXTRON SE,0.030445120802286924,5551,9,0,0,0,6,0,0,39,0
71,Eva Technologies Co Ltd,0.02998310424772039,4819,2,0,0,0,0,0,2,1,0
72,Aurotek Corp,0.02963377571778605,6729,12,1,0,0,0,89,0,9,3
73,Hunan China Sun Pharmactcl Mchnry Co Ltd,0.02905061008198455,4057,1,0,0,0,1,0,0,0,0
74,"TAZMO CO., LTD.",0.02832173012941259,1566,8,0,0,2,0,0,0,19,0
75,Lotvacuum Co Ltd,0.025740062094545654,4916,8,0,0,7,0,0,0,22,0
76,Calitech Co Ltd,0.02513480263472509,2735,7,0,0,0,1,0,0,20,0
77,Axcelis Technologies Inc,0.02484124263492719,2915,5,0,0,0,1,0,0,19,0
78,Toyo Machinery Metal Co Ltd,0.02460972406311484,4421,1,0,0,0,0,0,0,0,2
79,SHIBAURA MECHATRONICS CORPORATION,0.02444376145859879,3168,10,0,0,87,0,0,0,58,5
80,"Jusung Engineering Co., Ltd.",0.024347107733887912,3412,8,0,1,1,4,0,0,37,0
81,Wonik IPS Co Ltd,0.022761798146159813,3696,7,0,0,7,0,0,0,31,0
82,Dalian Zhiyun Automation Co Ltd,0.022480232181687543,3614,1,0,1,0,0,0,0,0,0
83,Guangdong Yizumi Precision Mchnry Co Ltd,0.02171438499838905,5624,1,0,0,0,1,0,0,0,0
84,Genetec Technology Berhad,0.021358834473765867,6774,7,0,0,0,0,2,0,11,0
85,Sun East Technology (Holdings) Ltd.,0.019358906021052162,2566,1,0,0,0,0,1,0,0,0
86,Viatron Technologies Inc,0.016139830276461608,1974,5,0,0,0,0,0,0,11,0
87,Foxsemicon Integrated Technology Inc,0.014725347222286985,3969,6,0,1,1,0,0,0,20,0
88,Singer Industries (Ceylon) Limited,0.014323227807260482,3369,1,0,0,0,0,1,0,1,0
89,"HOLON CO., LTD.",0.013959568963943434,1182,8,0,0,0,0,0,0,17,0
90,TSE Co Ltd,0.0133115253984152,1215,10,0,0,0,0,0,0,15,0
91,Top Engineering Co Ltd,0.01322713842908324,1945,3,0,0,0,0,0,0,10,0
92,"SNU Precision Co., Ltd.",0.012867915843040471,1934,5,0,0,0,0,0,0,9,0
93,Cymechs Inc,0.012785028236948694,3664,8,0,0,0,0,2,0,24,0
94,Advanced Process Systems Corp,0.012681608437949682,1691,5,0,0,0,0,0,0,16,0
95,LIG Invenia Co Ltd,0.012104538780886074,2407,3,0,0,0,0,0,0,11,0
96,Sinoma International Engineering Co Ltd,0.011698711776184046,3651,1,0,0,0,0,1,0,0,0
97,Riber SA,0.011279271970539507,2435,6,0,0,0,0,0,0,13,0
98,"NuFlare Technology, Inc.",0.01098198539656096,2943,9,0,1,1,0,0,0,31,0
99,GRAND PLASTIC TECHNOLOGY CORP,0.010759507749001135,1699,6,0,0,0,0,0,0,17,0
100,SHINKAWA LTD.,0.010724245747322279,1667,3,0,0,0,0,0,0,6,0
101,"Hanyang Eng Co., Ltd.",0.010710845404427788,2374,6,0,0,0,0,0,0,9,0
102,HB Technology Co Ltd,0.010555740404783336,3143,7,0,0,0,1,0,0,27,0
103,ARES GREEN TECHNOLOGY CORPORATION,0.0105196773144753,3270,3,0,0,0,0,0,0,8,0
104,3S Korea Co Ltd,0.010339419267096892,2463,5,0,0,0,0,0,0,8,0
105,EugeneTechnology Co Ltd,0.010147787885664943,2796,6,0,0,0,0,0,0,14,0
106,Chen Full International Co Ltd,0.009717210547981543,3985,5,0,0,0,0,0,0,10,0
107,Veeco Instruments Inc.,0.009684037171632997,1300,5,0,0,0,0,0,0,6,0
108,Global Testing Corporation Limited,0.00924586864256195,3793,4,0,0,0,0,0,0,13,0
109,ISC Co Ltd,0.008767329260937677,2674,6,0,0,0,0,0,0,19,0
110,Global Material Science CoLtd,0.008621067956044242,3601,4,0,0,0,0,0,0,9,0
111,Ace Hightech Co Ltd,0.008226881075706832,3599,4,0,0,0,0,0,0,13,0
112,Techwing Inc,0.007831991590424353,2867,6,0,0,0,0,0,0,16,0
113,APIC YAMADA CORPORATION,0.00777158129905013,2148,7,0,0,0,0,0,0,18,0
114,LB Semicon Co Ltd,0.007495284382697702,1999,7,0,0,0,0,0,0,25,0
115,San Lien Technology Corporation,0.007396305561962381,3788,4,0,0,0,0,0,0,7,0
116,PSK Inc,0.007292415727194189,1912,6,0,0,0,0,0,0,28,0
117,Ferrotec Corporation,0.007072283974533717,2393,9,0,0,0,0,0,0,18,0
118,TRINITY INDUSTRIAL CORP.,0.007059243785518788,3149,2,0,0,0,0,0,0,6,0
119,Manufacturing Integration Technology Ltd,0.006878977925548234,2230,7,0,0,0,0,0,0,24,0
120,"YUSHIN PRECISION EQUIPMENT CO., LTD.",0.006787058691892162,2415,1,0,0,0,0,0,0,7,0
121,Global Standard Technology Co Ltd,0.006501540198971224,2039,7,0,0,0,0,0,0,27,0
122,ISHII TOOL & ENGINEERING CORPORATION,0.006410280569146565,3406,7,0,0,0,1,0,0,43,0
123,Hanmi Semiconductor Co Ltd,0.006167638419885573,2290,8,0,0,0,0,1,0,47,0
124,ASM International NV (ADR),0.0059323706626109715,2907,6,0,0,0,0,0,0,30,0
125,Yest Co Ltd,0.005824382615213044,3504,4,0,0,0,0,0,0,20,0
126,Uroica Mining Safety Engineering Co Ltd,0.005314512966666811,3049,1,0,0,0,0,0,0,5,0
127,"TOKYO OHKA KOGYO CO., LTD.",0.005276298071027568,2407,13,0,0,0,0,0,0,49,1
128,Tera Semicon Co Ltd,0.0051376380634671525,2222,6,0,0,0,0,0,0,34,0
129,Korea Semiconductor System,0.00499830327919926,1585,8,0,0,0,0,0,0,52,0
130,BE Semiconductor Industrs NV (USA),0.004932610170607139,2572,7,0,0,0,0,0,0,41,0
131,"Intevac, Inc.",0.004327850086585296,12946,4,0,0,0,0,0,0,17,2
132,ASML Holding NV (ADR),0.004299863849076924,6177,6,0,0,0,0,0,0,19,0
133,"Mattson Technology, Inc.",0.004219274183954071,4849,9,0,0,0,1,0,0,43,0
134,Jinyitong Sci AND TechBeijing Co Ltd,0.004122622139007915,60190,5,0,0,0,6,0,0,1,0
135,TOWA CORPORATION,0.004004309599034336,3571,4,0,0,0,0,0,0,23,0
136,Jenoptik AG,0.003961565452114995,5695,5,0,0,0,0,0,0,9,0
137,"Y.A.C. CO., LTD.",0.003931910499532667,2761,2,0,0,0,0,0,0,4,0
138,ASM Pacific Technology Limited,0.0037635851071242247,5537,5,0,0,0,0,0,0,22,0
139,Suss MicroTec AG,0.003536895062703399,5698,10,0,0,0,0,0,0,22,0
140,UMS Holdings Limited,0.0034541478964854578,7504,6,0,0,0,0,0,0,21,0
141,Union Semiconductor Equipment Co Ltd,0.0031217651311898965,2883,9,0,0,0,0,0,0,60,0
142,CVD Equipment Corporation,0.002996093762547911,8756,10,0,0,0,0,0,3,44,0
143,ASM International NV (Amsterdam),0.0029879269874983,5958,8,0,0,0,0,0,0,26,0
144,"Ultratech, Inc.",0.0029790345265395595,6204,6,0,0,0,0,0,0,16,0
145,Mirae Corp,0.0027264910723344723,3464,2,0,0,0,0,0,0,4,0
146,Toptec Co Ltd,0.0024969262554747785,2705,1,0,0,0,0,0,0,2,0
147,ASTI Holdings Limited,0.0020309116582955425,4225,7,0,0,0,0,0,0,65,0
148,I Factory Co Ltd,0.0018854023353169532,4238,1,0,0,0,0,0,0,3,0
149,"TOKYO SEIMITSU CO., LTD.",0.0018532903424122332,4803,11,0,0,0,0,0,0,58,0
150,Impact Coatings AB,0.0012960440168601711,1583,1,0,0,0,0,0,0,1,0
151,ASML Holding NV,0.0011393741807762757,9545,7,0,0,0,0,0,0,61,0
152,Muehlbauer Holding AG & Co. KGaA,0.000939045984745002,3963,1,0,0,0,0,0,0,1,0
153,Laser Tek Taiwan Co. Ltd.,0.0009388521622016447,3919,1,0,0,0,0,0,0,1,0
154,"NITTOKU ENGINEERING CO., LTD.",0.0008616814631448807,3457,1,0,0,0,0,0,0,1,0
155,Leed Corp,0.0008379469069546108,9708,1,0,0,0,0,0,0,4,0
156,Sunedison Semiconductor Ltd,0.0006062934033145627,6621,13,0,0,0,0,0,0,169,0
