,name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
42,Renesas Easton Co Ltd,0.009306463828924368,1886,7,0,0,0,0,0,0,20,0
43,Promaster Technology Corp.,0.008220938472788306,1827,5,0,0,0,0,0,0,19,0
44,Koryo Electronics Co Ltd,0.00795255326923784,3635,4,0,0,0,0,0,0,12,0
45,Dragon Group International Limited,0.00735133394940956,2243,4,0,0,0,0,0,0,7,0
46,KANADEN CORPORATION,0.00718299699771643,2383,5,0,0,0,0,0,0,6,0
47,"WT Microelectronics Co., Ltd.",0.006482642241543087,2107,8,0,0,0,0,0,0,24,0
48,Podak Co Ltd,0.006403848899599935,2602,5,0,0,0,0,0,0,8,0
49,Serial System Ltd,0.006088249219451524,4331,3,0,0,0,0,0,0,13,0
50,AV Concept Holdings Limited,0.006037716844273333,3121,6,0,0,0,0,0,0,21,0
51,"TAKACHIHO KOHEKI CO., LTD.",0.0060237744601820895,3856,7,0,0,0,0,0,0,16,0
52,Excel Co Ltd,0.005896278152671149,3151,3,0,0,0,0,0,0,7,0
53,Advanced Digital Chips Inc,0.0057744190095542994,2977,7,0,0,0,0,0,0,23,0
54,S.A.S. Dragon Holdings Limited,0.0054855731174862305,4077,6,0,0,0,0,0,0,17,0
55,"MITACHI CO., LTD",0.004997657575080989,3938,7,0,0,0,0,0,0,19,0
56,Galaxy Far East Corp,0.004806267754981906,3124,6,0,0,0,0,0,0,31,0
57,NIPPO LTD.,0.004731142597807942,1804,2,0,0,0,0,0,0,3,0
58,Zenitron Corp,0.004580478109779489,2545,7,0,0,0,0,0,0,22,0
59,KUEN CHAANG UPPERTECH CORP.,0.004064996515504189,5363,7,0,0,0,0,0,0,17,0
60,"HAGIWARA ELECTRIC CO., LTD.",0.003757491123320646,2525,2,0,0,0,0,0,0,4,0
61,Ryoyo Electro Corp,0.0034917189470324832,4629,5,0,0,0,0,0,0,24,0
62,Perfect Optronics Ltd,0.003396346742357826,2943,2,0,0,0,0,0,0,4,0
63,Shenzhen Huakong Seg Co Ltd,0.003298347688615285,3762,2,0,0,0,0,0,0,4,0
64,"MAXTEK TECHNOLOGY CO., LTD.",0.0030506834883186687,2063,2,0,0,0,0,0,0,2,0
65,Mobicon Group Limited,0.0027851419249118377,4635,2,0,0,0,0,0,0,5,0
66,RADA Electronic Ind. Ltd.,0.0011202449831104386,4973,1,0,0,0,0,0,0,2,0
67,NICHIDENBO CORPORATION,0.001085794589973008,2993,1,0,0,0,0,0,0,1,0
68,Congatec Holding AG - ADR,0.0004269469703504625,69496,8,1,0,0,0,1,1,50,0
69,"Ryoden Trading Company, Limited",0.00038417743536597795,4981,1,0,0,0,0,0,0,1,0
