,name,score,document_length,url_count,consult,customer service,marketing service
120,CCID Consulting Company Limited,0.0013602316807863027,1635,6,53,0,0
121,IR Japan Holdings Ltd,0.0013312537220942972,3224,6,14,0,0
122,Energy Action Ltd,0.0013122605912916033,3882,5,6,0,0
123,Zico Holdings Inc,0.0012884629860635288,4197,3,5,0,0
124,Sigmaxyz Inc,0.0012833972167240046,3455,7,17,0,0
125,Norcon Plc.,0.0012689124835527684,3154,4,16,0,0
126,Dalian East New Energy Developmnt Co Ltd,0.0012581058579114275,4482,3,6,0,0
127,Fasteps Co Ltd,0.0012502876113304666,4336,4,9,0,0
128,Artra Corp,0.0011967891380978313,2082,2,2,0,0
129,CN Dragon Corp.,0.0011935569400650403,4294,8,12,0,0
130,Zhi Cheng Holdings Ltd,0.0011658208736294174,4031,5,15,0,0
131,Edu Fin Inv JSC,0.001155801738246734,5265,5,7,0,0
132,Soellingen Advisory Group Inc,0.0011442070481241947,3124,5,27,0,0
133,Tianjin Tenio Archtr and Eng Co Ltd,0.0011089486908278253,4992,3,13,0,0
134,Wuhan United-Power Dsgn & Eng Co,0.0010966125766389873,3021,5,19,0,0
135,GR Engineering Services Ltd,0.0010789431107710234,3134,12,21,0,0
136,A.L.D. Advanced Logistics Developments,0.0010526764336570627,4701,6,8,0,0
137,Tefen Industrial Eng. Mgt.&Sys. Analysis,0.0010156496175655,3921,6,18,0,0
138,Accenture Plc,0.001001809785768659,15996,10,164,3,1
139,Publicis Groupe SA (ADR),0.0009970639980539675,5948,4,5,0,0
140,Assystem SA,0.0009822059494276956,4205,6,13,0,0
141,"Navigant Consulting, Inc.",0.0009800610425192062,3257,6,28,0,0
142,Calibre Group Ltd,0.000976230787307907,5013,3,10,0,0
143,Gexeed Co Ltd,0.0009699885878067726,4337,7,26,0,0
144,Itera ASA,0.0009557914865670827,3357,4,27,0,0
145,SilverSun Technologies Inc,0.0009423337777362854,5153,5,15,0,0
146,Primeserv Group Limited,0.0009405707453079811,4170,8,15,0,0
147,TriNet Group Inc,0.0009359584262808539,5128,4,8,0,0
148,Maruwa Unyu Kikan Co Ltd,0.0009320220453541793,5508,7,8,0,0
149,Sondotecnica Engenharia De Solos SA,0.0009215616042999536,3275,10,14,0,0
150,Zalaris ASA,0.0009181538360185022,2755,7,46,0,0
151,"CTI Engineering Co., Ltd.",0.0009165766503013527,4658,8,22,0,0
152,Engility Holdings Inc,0.000912129379399485,5668,5,12,0,0
153,Ecosave Holdings Ltd,0.0009000770521033446,5676,6,7,0,0
154,Funai Soken Holdings Inc,0.0008968019316362211,3670,6,41,0,0
155,Shanghai Liketry Internt Inf Tech Co Ltd,0.0008335284559612223,3945,1,3,0,0
156,JGC Corp,0.0008309430755545717,4011,2,3,0,0
157,WS Atkins PLC,0.000819952620184207,5083,6,24,0,0
158,Dovre Group Oyj,0.0008176587765854736,17129,8,238,3,0
159,"Nippon Koei Co., Ltd.",0.0008171239067381831,4468,7,32,0,0
160,Power Engineering Consulting JSC 1,0.0008097349501271928,3502,7,40,0,0
161,AVIC International Maritime Holdings Ltd,0.0007798822634309419,4755,7,18,0,0
162,Lightbridge Corp,0.0007729853212637305,5749,4,10,0,0
163,Begbies Traynor Group plc,0.0007701618108863716,4511,7,21,0,0
164,Multiconsult ASA,0.0007634569732939021,3102,10,95,0,0
165,"TANABE MANAGEMENT CONSULTING CO., LTD.",0.0007584197561655048,2633,7,76,0,0
166,"OmniComm Systems, Inc.",0.0007493724310225915,5856,6,11,0,0
167,Power Engineering Consulting JSC 2,0.0007143902842759189,2575,7,70,0,0
168,Press Ganey Holdings Inc,0.0006946093086121306,5448,9,24,0,0
169,MVV Holding publ AB,0.000693463755772292,33147,6,12,1,0
170,"KYOWA ENGINEERING CONSULTANTS CO., LTD.",0.000676572179954209,3872,9,71,0,0
171,"Information Services Group, Inc.",0.0006730085682062029,5106,5,37,0,0
172,Song Da Consulting JSC,0.0006678486278253297,4669,7,38,0,0
173,Borneo Industrial Fishery Corp Inc,0.0006612326605730407,12855,2,8,0,0
174,Advertising Prodigy AD Sofia,0.000647456059509821,3575,1,2,0,0
175,"Auxilio, Inc.",0.0006455552201439979,3936,2,2,0,0
176,Brooker Group PCL,0.0006352339130381126,4358,7,35,0,0
177,"Exponent, Inc.",0.0006346330031933123,5714,10,45,0,0
178,Power Engineering Consulting JSC 3,0.0006259068649183681,4255,9,53,0,0
179,Veda Group Ltd,0.0006077210721418523,3741,2,2,0,0
180,Yamada Consulting Group Co Ltd,0.0005900630999488689,4072,9,84,0,0
181,Top Resource Conservation Engineering,0.0005853383906234044,5528,1,2,0,0
182,Ricardo plc,0.0005852936866923682,9154,7,24,0,0
183,Florida Investments SA,0.0005684240473532278,2088,1,1,0,0
184,"Willdan Group, Inc.",0.000559408278462009,7010,6,23,0,0
185,Cartesian Inc,0.0005409081680409995,3547,1,2,0,0
186,Worleyparsons Limited,0.0005332462291657798,8053,9,27,0,0
187,Wison Engineering Services Co Ltd,0.0005274754438553985,6296,5,19,0,0
188,GP Strategies Corp,0.0005233299048607895,6348,6,29,0,0
189,Petrovietnam Power Engineering Con JSC,0.000511857519666129,5775,7,46,0,0
190,NV5 Holdings Inc,0.0005026142580901811,6879,9,42,0,0
191,Management Consulting Group PLC,0.0004965024589279614,4621,8,104,0,0
192,Nordkom AB,0.0004773985414112938,2801,1,1,0,0
193,Penna Consulting plc,0.00043903365124514854,4967,8,111,0,0
194,Soprano Oyj,0.0004247652569108164,2362,1,1,0,0
195,Earth Science Tech Inc,0.0004139372878973536,5261,2,2,0,0
196,"FTI Consulting, Inc.",0.0004105380538667184,3876,10,148,0,0
197,Beijing SPC Environment Prtcn Tech CoLtd,0.000401672055929202,2487,1,1,0,0
198,Beijing Guchngrt Sci and Tech Co Ltd,0.0003973484448740731,2285,1,1,0,0
199,Morneau Shepell Inc,0.00037269921188383127,5852,9,63,0,0
200,Safco Investment Holding Corp,0.0003632103702893843,21073,9,195,0,2
201,Altran Technologies SA,0.0003584855420840507,7599,11,66,0,0
202,Cimic Group Ltd,0.00034005217903433106,7921,3,3,0,0
203,Poyry PLC,0.00031991711947631883,5262,9,58,0,0
204,Harrison Vickers and Waterman Inc,0.0003068641542079537,4094,1,1,0,0
205,Huron Consulting Group,0.00029650496482809687,9418,12,375,2,0
206,Hualien Media Intl Co Ltd,0.00027802212719089676,8800,1,2,0,0
207,"CBIZ, Inc.",0.0002675471161334117,8400,12,111,0,0
208,Hill International Inc,0.00024566040638816105,16670,9,55,0,1
209,MITCON Consultancy & Engineering Svs Ltd,0.00018430175909956367,8326,11,264,0,0
210,Booz Allen Hamilton Holding Corporation,0.00015420985170726636,21036,17,189,1,0
211,Yatai Duhui Beijing Urban P & B GDRI,0.00010312357687165354,12249,5,19,0,0
212,"Resources Connection, Inc.",6.004004891693695e-05,29810,13,61,0,0
