,name,score,document_length,url_count,cleaning product,health drink,health food,health supplement,skin care,supplement
38,Themis Medicare Ltd,0.044308475778056654,5529,1,0,0,1,1,4,11
39,Mega Lifesciences Public Co Ltd,0.0432648393333382,3867,6,0,0,2,2,1,13
40,CTC Bio Incorporation,0.043037926082125845,2462,4,0,0,1,0,0,6
41,"Daito Pharmaceutical Co.,Ltd.",0.04204822890027347,1336,1,0,0,1,0,0,0
42,Tempo Scan Pacific Tbk PT,0.040354200036329044,2636,2,0,0,0,2,0,5
43,TAISHO PHARMACEUTICAL HOLDINGS Co Ltd,0.03980931769700221,5198,2,0,0,2,0,1,0
44,Strides Shasun Ltd,0.03734474864782389,5988,3,0,1,1,1,7,17
45,Sanofi-Aventis Pakistan Limited,0.03717674201393076,11439,5,0,0,0,5,0,0
46,MedFirst Healthcare Services lnc,0.03299268491778093,2364,4,0,0,1,0,0,4
47,CYANOTECH CORP,0.031868717154609885,2512,7,0,0,5,0,0,29
48,"Bukwang Pharmaceutical Co., Ltd.",0.031200036209154996,2315,3,0,0,0,1,0,2
49,Chi Sheng Chemical Corporation,0.028495452846272893,2459,1,0,0,0,1,0,0
50,Abbott Laboratories Pakistan Ltd.,0.025675362604427498,5512,1,0,0,0,0,2,7
51,Boiron SA,0.024417286751250822,4890,2,0,0,2,0,0,1
52,"Daewoong Pharmaceutical Co., Ltd.",0.02370567562245143,2995,1,0,0,0,1,0,0
53,Beximco Pharmaceuticals Limited,0.0231760983070788,9688,6,0,0,0,0,9,18
54,Sagittarius Life Science Corp,0.021214805625292897,4442,4,0,0,0,0,1,7
55,F D C Ltd,0.020268857482517492,8992,2,0,0,1,1,4,12
56,Darya-Varia Laboratoria Tbk PT,0.01914703148070541,4097,5,0,0,0,1,0,8
57,Amarillo Biosciences Inc,0.018776171746111434,4880,4,0,0,0,0,1,5
58,Chromadex Corp,0.018118397483776676,4145,5,0,0,0,0,2,12
59,Medipharco Tenamyd Central Pharmatcl JSC,0.01798785378477945,3429,1,0,0,0,1,0,0
60,Elder Pharmaceuticals Ltd,0.017393194553837286,10165,6,0,0,1,1,6,19
61,Hyundai Pharmaceutical Co  Ltd,0.012910725718404863,4436,2,0,0,1,0,0,1
62,Novartis India Limited,0.012239343593752738,9500,3,0,0,0,0,2,12
63,FitLife Brands Inc,0.010425587294143139,1689,4,0,0,0,0,0,11
64,Enzymotec Ltd,0.010269342763794188,7841,9,1,0,0,0,0,24
65,GNC Holdings Inc,0.009251110076304232,8402,11,1,0,4,0,0,51
66,Venture Life Group PLC,0.008309712067743644,3060,4,0,0,0,0,0,10
67,Avidus Management Group Inc,0.00830634120574205,2997,3,0,0,0,0,0,8
68,ImmuDyne Inc,0.0075381929791648785,4425,7,0,0,0,0,1,18
69,"OXIS International, Inc.",0.007479835564292593,3495,2,0,0,0,0,0,9
70,"USANA Health Sciences, Inc.",0.00681427854291336,6333,6,0,0,1,1,3,37
71,Pyridam Farma Tbk PT,0.006435025637476338,3541,6,0,0,0,0,0,7
72,MusclePharm Corp,0.006340157759648998,6648,7,0,0,0,0,3,32
73,Inergetics Inc,0.005560223513368406,3440,5,0,0,0,0,0,17
74,Coral Laboratories Ltd,0.005412182009501374,4628,3,0,0,0,0,0,9
75,Ouro Fino Saude Animal Participacoes SA,0.0053866539638086595,3207,3,0,0,0,0,0,6
76,Twilight Litaka Pharma Ltd,0.00523433796648572,2860,3,0,0,0,0,0,5
77,DIOD OAO,0.005138355448776024,2493,2,0,0,0,0,0,4
78,Rigas Farmaceitiska Fabrika AS,0.004954911906724697,5239,6,0,0,0,0,0,8
79,Tianjin Zhongxin Phrmctl Gp Cp Ltd,0.004875577708760008,3151,10,0,0,0,0,0,5
80,Middle East Pharmaceutical & Chemical In,0.004285383038784452,3924,4,0,0,0,0,0,6
81,Alexandria Pharma. & Chemical Industries,0.004166230895552538,4849,3,0,0,0,0,0,7
82,Sancilio Pharmaceuticals Co Inc,0.004122025438821078,4712,3,0,0,0,0,0,13
83,Orchid Pharma Ltd,0.0040274672243644895,6627,5,0,0,0,0,0,7
84,Jacks International Limited,0.004016059961707529,3193,1,0,0,0,0,0,4
85,Targeted Medical Pharma Inc,0.0038316909143689118,4175,2,0,0,0,0,0,5
86,PKU HealthCare Corp Ltd,0.0036630313729585297,5989,3,0,0,0,0,0,7
87,Bioadaptives Inc,0.0034649541698008783,2575,3,0,0,0,0,0,3
88,NUTEX Befektetesi Nyrt,0.0034177374594276753,5577,7,0,0,0,0,0,8
89,"Reliv International, Inc",0.0033140499161425727,2066,9,0,0,0,0,0,40
90,Neutra Corp,0.003295471345209784,4069,3,0,0,0,0,0,4
91,Tchaikapharma High Qulty Medcns AD Sofia,0.003268578039072327,5132,5,0,0,0,0,0,5
92,Peak Pharmaceuticals Inc,0.002955126806170531,5115,5,0,0,0,0,0,19
93,"Samil Pharmaceutical Co., Ltd.",0.00288555670725388,2030,2,0,0,0,0,0,2
94,Olainfarm AS,0.00282980203533767,3042,1,0,0,0,0,0,3
95,Biofarm SA,0.0027767688390931285,3006,8,0,0,0,0,0,28
96,Go Life International PCC,0.002098133943825842,1332,1,0,0,0,0,0,1
97,True Drinks Holdings Inc,0.002045726742571715,3678,1,0,0,0,0,0,3
98,Vitamin Shoppe Inc,0.0019961519883844895,7982,4,0,0,0,0,0,26
99,Biovet AD Peshtera,0.001991505240010908,4923,1,0,0,0,0,0,3
100,Alta Natural Herbs & Supplements Ltd.,0.0018754058109281848,3104,9,0,0,0,0,0,78
101,Natural Health Trends Corp.,0.0017981889137968364,3435,2,0,0,0,0,0,2
102,Laboratorio Reig Jofre SA,0.001790923663492854,5911,9,0,0,0,0,0,22
103,"Jin Yang Pharmaceutical Co., Ltd.",0.0017784252116005814,3452,2,0,0,0,0,0,2
104,Zentiva SA,0.0016825758259844496,5150,2,0,0,0,0,0,3
105,Nattopharma ASA,0.0016410059904089541,5135,9,0,0,0,0,0,39
106,Wellness Center USA Inc,0.0016340502626757336,7022,3,0,0,0,0,0,4
107,ProPhase Labs Inc,0.0014542769214792848,5681,10,0,0,0,0,0,35
108,Abbott Laboratories,0.0014095332950632888,6499,3,0,0,0,0,0,3
109,Beijing Sunho Pharmaceutical Co Ltd,0.0013314279765805717,1970,1,0,0,0,0,0,1
110,"Mannatech, Inc.",0.0013012026008387726,9288,9,0,0,0,0,0,48
111,Sequent Scientific Limited,0.0012959764623554075,2753,1,0,0,0,0,0,1
112,Otsuka Holdings Co Ltd,0.0010102174343156018,4230,2,0,0,0,0,0,2
113,CFR Pharmaceuticals SA,0.0009821059138733082,3385,1,0,0,0,0,0,1
114,Hofseth Biocare ASA,0.0009452915819831542,2722,1,0,0,0,0,0,1
115,Divi's Laboratories Ltd,0.0009448492915962268,3122,1,0,0,0,0,0,1
116,Schnell Biopharmaceuticals,0.0009362962384198828,3679,1,0,0,0,0,0,1
117,Wanbury Limited,0.0009350212404227286,3436,1,0,0,0,0,0,1
118,CTD Holdings Inc,0.0007146238825940802,3592,1,0,0,0,0,0,1
119,Hester Biosciences Ltd,0.000668293256654064,5666,1,0,0,0,0,0,1
120,Nature's Sunshine Prod.,0.00040586248135071845,17144,2,0,0,0,0,0,5
121,Canadian Bioceutical Corp,0.000373586323440731,8998,1,0,0,0,0,0,1
