name,score,document_length,url_count,ac power source,converter,discontinued product,electronic,instrument,power ,safety test,solutions,test,test system
ShenZhen Yitoa Intelligent Control CoLtd,0.009519045355760853,2789,9,0,0,0,36,1,5,1,0,8,0
Centum Electronics Ltd.,0.009483636698059026,4458,8,0,2,0,87,1,7,0,0,30,1
Gerard Perrier Industrie SA,0.009309332265201585,2699,7,0,2,0,13,6,6,0,0,9,0
Tamagawa Holdings Co Ltd,0.009257473079439318,2143,9,0,2,0,18,0,26,0,0,7,0
Wong's International Holdings Ltd,0.008933604154993228,3085,9,0,0,0,49,1,1,0,1,11,1
Acrel Co Ltd,0.008881347387229937,1655,6,0,1,0,0,4,41,0,0,0,0
Schaffner Holding AG,0.008574356449409258,12129,11,0,0,0,74,0,408,0,0,6,0
PS Tec Co Ltd,0.00844725996078552,4294,9,0,4,0,8,2,9,0,0,7,0
Glory Mark Hi-Tech (Holdings) Limited,0.008347599442267312,3793,9,0,4,0,30,2,3,0,0,3,0
Changsha Kaiyuan Instruments Co Ltd,0.00828686222683945,4606,10,0,0,0,4,52,13,0,0,32,0
Microview Technology Corporation,0.008258422704436144,5511,11,0,1,0,70,4,21,0,1,8,0
Wiisol Co Ltd,0.008233233993355972,2257,13,0,1,0,11,1,1,0,2,3,0
Chilisin Electronics Corporation,0.008227306814489483,2205,10,0,1,0,14,0,59,0,0,1,0
Magnetek Inc,0.008124064918301083,3554,9,0,3,0,5,0,36,0,1,1,0
SAN-EL Muhendislik Elektrik Taahhut San,0.0078942465457615,1603,7,0,2,0,0,4,9,0,0,7,0
Sartorius AG,0.007685287980851083,9764,14,0,0,0,9,28,2,0,8,27,0
Fujipream Corp,0.007652039574269691,3137,9,0,2,0,10,4,9,0,0,16,0
Giken Sakata S Ltd,0.007424570376293207,3766,14,0,1,0,15,1,0,1,0,1,0
Darfon Electronics Corp,0.0074200948152911336,2374,8,0,2,0,25,0,18,0,0,3,0
IDEC CORPORATION,0.007370570371588505,5736,13,0,1,0,21,2,64,0,1,10,0
Tai-Tech Advanced Electronics Co Ltd,0.007328029193823628,2444,9,0,1,0,63,1,23,0,0,3,0
"Shinko Shoji Co., Ltd.",0.007327008146620272,4716,13,0,0,0,45,1,0,0,5,3,0
Chino Corp,0.007277786266483478,3610,14,0,0,0,12,34,4,0,0,9,0
Hansol Technics Co Ltd,0.007211542297574549,3043,10,0,3,0,20,0,26,0,0,2,0
Beijing IRTOUCH Systems Co Ltd,0.007027786594647833,5017,13,0,0,0,10,1,2,0,4,3,0
"Holy Stone Enterprise Co., Ltd.",0.006865937387448133,6084,12,0,4,0,29,0,32,0,0,8,0
"Shenzhen Haoningda Meters Co., LTD.",0.006863163171982035,2090,9,0,0,0,10,7,3,0,1,1,0
Genimous Investment Co Ltd,0.006755242928624738,3456,10,0,2,0,10,12,3,0,0,7,0
Shenzhen Maxonic Automation Control Co L,0.006745384962431169,3483,9,0,0,0,0,42,4,0,0,3,0
Sonel SA,0.006659638422653318,3300,9,0,0,0,1,22,26,0,0,74,0
Nippon Manufacturing Service Corporation,0.006515737569918691,3822,12,0,0,0,49,3,10,0,2,3,0
Miris Holding AB,0.006494971194329203,2086,6,0,1,0,2,6,0,0,2,1,0
Inspec Inc,0.006307511638997205,6073,9,0,0,0,36,40,0,0,1,39,0
Pentamaster Corporation Berhad,0.006278327396160105,3002,10,0,0,0,7,5,0,0,2,9,0
Exicon Co Ltd,0.006198629806230338,1366,8,0,0,0,1,1,0,0,0,26,1
JPP Holding Co Ltd,0.006179877028344712,2838,9,0,2,0,24,3,6,0,0,6,0
InterStandarts AD Sofia,0.006113594968282192,2161,10,0,1,0,2,12,1,0,0,24,0
Korea Display System Co Ltd,0.006094453053445015,2896,8,0,1,0,4,1,1,0,1,7,0
Hokuriku Electric Industry Co Ltd,0.006038880582378313,4413,10,0,5,0,17,1,15,0,0,2,0
DKK-Toa Corp,0.006020093948293765,3124,13,0,0,0,20,42,4,0,0,0,0
Thinking Electronic Industrial Co Ltd,0.005914036534360504,1624,3,0,2,0,20,0,8,0,0,0,0
Photon Control Inc,0.0057916633807098515,3680,10,0,1,0,16,17,9,0,0,9,0
Jorjin Technologies Inc,0.005787008430662488,1926,10,0,0,0,12,6,2,0,1,5,0
Qingdao Eastsoft Cmmnictn Tchnlgy Co Ltd,0.005757754688006608,4186,10,0,2,0,5,9,14,0,0,14,0
"Shanghai Welltech Automation Co., Ltd.",0.005752116369982061,2990,9,0,0,0,8,13,13,0,0,8,0
Electrical Industries Co JSC,0.005632848182564882,5469,12,0,1,0,2,7,42,0,0,10,0
UniTest Inc,0.005432235174581248,1734,7,0,2,0,1,3,1,0,0,83,0
Strongunion Technology Co Ltd,0.005426216056645714,4510,9,0,3,0,5,1,6,0,0,4,0
Tai Shing Electronics Components Corp,0.005367678232151484,3010,12,0,2,0,60,0,16,0,0,8,0
ELE-CON Technology Co Ltd,0.00529885808214527,2348,12,0,1,0,1,0,24,0,0,7,0
"Grand-Tek Technology Co., Ltd.",0.005273424737738473,1730,11,0,0,0,4,1,1,0,2,2,0
Aichi Tokei Denki Co Ltd,0.005229171795389544,3219,12,0,0,0,6,3,13,0,1,3,0
Lem Holding SA,0.005220028703178827,3200,10,0,1,0,20,1,22,0,0,5,0
"SL Industries, Inc.",0.005107015203339167,3423,9,0,0,0,29,0,42,0,0,5,0
Acme Electronics Corporation,0.005058566007507856,5424,8,0,1,0,99,3,19,0,0,4,0
"SINBON ELECTRONICS CO., LTD.",0.005045130049230661,2183,8,0,0,0,31,2,7,0,1,3,0
Ask SA,0.004962269343652151,2632,7,0,0,0,8,0,5,0,1,3,0
LECIP CORPORATION,0.004953854773471548,2209,11,0,1,0,3,0,35,0,0,2,0
Transformers & Rectifiers (India) Ltd.,0.004926358250595919,4982,10,0,1,0,1,1,38,0,0,11,0
Beijing Fujidaneng Elctrncs Prdct Co Ltd,0.004888485179083154,1931,9,0,1,0,13,2,4,0,0,3,0
Seiko Holdings Corp,0.004842237398494928,6788,13,0,2,0,35,28,11,0,0,9,0
Beijing SDL Technology Co Ltd,0.004840367098399564,2130,8,0,1,0,2,7,6,0,0,3,0
Seronics Co Ltd,0.004792835980728272,1648,9,0,2,0,11,1,0,0,0,4,0
Waters Corporation,0.004672563445888823,18884,9,0,0,0,0,95,66,0,0,74,0
Power Logics,0.004616751148177451,1519,9,0,0,0,0,0,67,0,0,0,0
Seoul Electronics & Telecom,0.0044934732114428515,3087,11,0,0,0,78,5,19,0,0,8,0
ViTrox Corporation Bhd,0.0044747651136390195,2902,7,0,0,0,28,1,0,0,0,8,1
Sensata Technologies Holding N.V.,0.004415564203022112,5102,12,0,0,0,12,1,25,0,1,7,0
El Sewedy Electric Co,0.004366729883159359,4438,12,0,0,0,0,1,27,0,0,9,1
"Taiwan Oasis Technology Co., Ltd.",0.004358587290061655,4401,12,0,1,0,12,2,37,0,0,13,0
Hammond Manufacturing Company Limited,0.0043066719784979664,4550,13,0,0,0,87,8,23,0,0,6,0
Computime Group Limited,0.004217952418944293,4978,12,0,1,0,39,7,8,0,0,10,0
NFO Drives AB (publ),0.004212197959129702,31630,9,0,5,0,0,231,21,0,0,24,0
"Jhen Vei Electronic Co., Ltd.",0.0041501195592822575,2087,8,0,2,0,34,0,1,0,0,3,0
Shenzhen Topband Co Ltd,0.004145076968604941,3323,12,0,0,0,12,1,10,0,2,7,0
Hitachi High-Technologies Corp,0.0041198778433037195,4499,13,0,0,0,21,34,1,0,0,10,0
Chemtronics Co Ltd,0.004107711415365698,2680,9,0,1,0,23,1,4,0,0,6,0
"Meiko Electronics Co., Ltd.",0.004061317394810735,4656,11,0,1,0,73,1,14,0,0,11,0
Babcock & Wilcox Enterprises Inc,0.004018351741549119,5504,8,0,2,0,0,0,69,0,0,3,0
Wuhan Zhongyuan Huadian,0.004004869868276965,4377,9,0,0,0,4,9,34,0,0,10,0
Scientech Corp,0.0040000885416622365,3787,11,0,0,0,25,8,17,0,0,14,0
"Shenzhen Sunlord Electronics Co., Ltd.",0.003924264246823692,5340,13,0,1,0,94,2,25,0,0,5,0
FEI Company,0.003911688310060102,2956,7,0,0,0,3,7,0,0,1,6,0
Alltronics Holdings Limited,0.003821522923324573,2471,8,0,1,0,53,0,5,0,0,3,0
R. H. Technologies Ltd.,0.003811062364768872,2224,12,0,0,0,18,1,2,0,1,4,0
ABC Taiwan Electronics Corporation,0.003810600230454652,1153,5,0,0,0,30,0,13,0,0,5,0
Emrise Corporation,0.003807843986049299,6412,11,0,1,0,49,1,30,0,0,12,0
Ningbo Sanxing Medical Electric Co Ltd,0.0037916742083031253,5844,14,0,0,0,20,3,39,0,0,25,0
Tianjin Yxt Science and Tech Co Ltd,0.003726486317373142,2453,9,0,0,0,8,12,4,0,0,6,0
"Allied Motion Technologies, Inc.",0.0037089993325382696,4074,10,0,0,0,17,6,25,0,0,4,0
Nanjing Xinlian Electronics Co Ltd,0.0037025237521271727,2748,7,0,0,0,36,3,11,0,0,7,0
"NB Ligong Online Monitoring Tech Co.,Ltd",0.0036998079523244336,364571,7,0,0,0,3948,14,2712,0,9,19,0
Lifeloc Technologies Inc,0.0036896489356146437,7618,11,0,0,0,2,14,1,1,0,134,0
Success Electronics Ltd,0.0036468785702938908,1601,6,0,1,0,36,3,0,0,0,2,0
"Guangzhou Zhiguang Electric Co., Ltd.",0.0036461105003114404,2691,9,0,1,0,3,0,14,0,0,4,0
Dongil Technology Ltd,0.0036394556631749895,2466,13,0,0,0,18,3,12,0,0,6,0
Electromagnetica SA,0.003488598083627386,4982,9,0,0,0,30,2,33,0,0,16,0
Ralec Electronic Corporation,0.003365083444799574,3316,8,0,1,0,52,1,7,0,0,2,0
Apar Industries Ltd,0.0033594782119453935,10492,9,0,0,0,9,2,28,2,0,677,0
Tecan Group Ltd,0.0033594002132559123,9620,12,0,1,0,2,20,13,0,0,29,0
Sunny Electronics Co Ltd,0.003307336610267926,2694,7,0,1,0,70,0,4,0,0,4,0
"MAG.LAYERS Scientific-Technics Co.,Ltd.",0.003259640756113871,1549,14,0,0,0,3,0,23,0,0,3,0
VWR Corp,0.0032481257094408213,34592,12,0,0,0,25,93,23,0,0,126,0
LGL Group Inc,0.0031820680180095835,3822,13,0,0,0,9,3,5,0,1,1,0
Robostar Co Ltd,0.003165082207656417,3635,11,0,0,0,15,23,2,0,0,1,0
Trais Co Ltd,0.0031487232437807685,3455,8,0,1,0,22,9,2,0,0,2,0
Elspec Engineering Ltd.,0.0031428561696519473,2495,11,0,0,0,2,0,63,0,0,2,0
"King Yuan Electronics Co., Ltd.",0.0031049828834678575,4050,11,0,0,0,69,0,4,0,1,84,0
inTEST Corporation,0.0030648437153291785,3879,11,0,0,0,19,0,4,0,0,237,1
Canon Electronics Inc,0.003051881972233226,1995,11,0,0,0,40,5,3,0,0,10,0
Shenzhen Microgate Technology Co Ltd,0.003043081512298585,2338,9,0,0,0,18,1,19,0,0,10,0
Von Roll Holding AG,0.003020159910814022,4579,8,0,0,0,6,0,35,0,0,12,0
Soulbrain ENG Co Ltd,0.003014127419290566,4228,13,0,2,0,5,2,3,0,0,13,0
Hickok Incorporated,0.002998968483878061,3390,10,0,0,0,8,7,10,0,0,15,0
Ajinextek Co Ltd,0.0029860584179640165,3142,12,0,1,0,5,0,8,0,0,5,0
"Entire Technology Co., Ltd",0.0029593796049359345,3160,8,0,2,0,10,1,2,0,0,5,0
Asia Vital Components Co Ltd,0.0029566823740851114,4019,14,0,2,0,4,0,4,0,0,5,0
AXIS Corporation,0.0028963223131143697,4113,7,0,2,0,8,0,1,0,1,7,0
Inventec Besta Co Ltd,0.0028376571103346667,3979,10,0,1,0,38,0,9,0,0,4,0
"Ecopro Co., Ltd.",0.002800332870849361,2151,11,0,1,0,1,0,6,0,0,4,0
Magic Technology Co Ltd,0.0027528953704163144,2659,11,0,0,0,14,1,12,0,0,4,0
Japan Resistor Mfg Co Ltd,0.0026945051417432675,2171,12,0,0,0,20,1,21,0,0,1,0
INFICON Holding AG,0.0026746080846046434,2748,9,0,0,0,1,19,0,0,0,1,0
"LG Innotek Co., Ltd.",0.0025730302085015255,2348,7,0,0,0,15,1,15,0,0,11,0
"Data International Co., Ltd",0.0024970012653383333,2686,9,0,1,0,5,3,0,0,0,1,0
Wasion Group Holdings Limited,0.002477060277092541,4458,9,0,1,0,2,2,17,0,0,8,0
Transgenomic Inc,0.002471950389481541,4362,7,0,0,0,0,4,17,0,0,38,0
Zhengzhou GL Tech Co Ltd,0.002455004809470776,4506,9,0,1,0,0,11,1,0,0,9,0
Optimax Technology Corporation,0.002430322401158043,2594,8,0,1,0,8,1,0,0,0,4,0
UQM Technologies Inc,0.0024277433054463306,3607,9,0,1,0,2,0,22,0,0,6,0
Radiant Opto-Electronics Corporation,0.0024072551782545145,2460,13,0,1,0,45,2,1,0,0,2,0
"MARUWA CO., LTD.",0.0024000908636950787,2862,11,0,1,0,40,0,10,0,0,1,0
Forward Electronics Co Ltd,0.0023929100081899976,2211,8,0,1,0,74,0,1,0,0,1,0
Beijing Hang Feng Ke Wei Equipment Tech,0.00239127122461278,17893,11,0,0,0,179,6,64,0,0,8,0
Mustang Industrial Corp,0.0023406913167601773,5931,11,0,2,0,13,3,0,0,0,5,0
Microtips Technology Inc.,0.0022335420091399226,11295,7,0,1,0,12,3,30,0,0,16,0
Korea Materials & Analysis Corp,0.002205368491057783,4532,9,0,0,0,6,13,1,0,0,10,0
"Taiwan Alpha Electronic Co., Ltd.",0.0021948672693678484,3663,10,0,0,0,38,0,18,0,0,8,0
Echo International Holdings Group Ltd,0.002191843362095496,4116,10,0,1,0,47,1,1,0,0,9,0
IDT International Limited,0.0021719630632248722,4359,9,0,0,0,52,0,4,0,2,0,0
Beijing Chipadvanced Technology Inc,0.002163731330000753,5410,9,0,0,0,34,2,21,0,0,23,0
Avatec Co Ltd,0.0021325910166489063,2367,8,0,1,0,10,1,0,0,0,7,0
"Star World Technology Co., Ltd.",0.0021228599806476884,2562,8,0,1,0,23,0,3,0,0,2,0
Nuvolt Corp Inc,0.002117870629989773,3250,8,0,1,0,5,2,4,0,0,2,0
Roper Technologies Inc,0.0020969012163905417,9384,11,0,0,0,6,14,4,0,2,7,0
"Harvard Bioscience, Inc.",0.0020391002339292317,4331,11,0,0,0,0,19,0,0,0,4,0
ABCO Electronics Co Ltd,0.002000916679128489,1620,8,0,0,0,43,2,8,0,0,2,0
Sang-A Frontec Co Ltd,0.0019296856164923355,2921,8,0,1,0,11,1,0,0,0,3,0
Beijing Creative Distributn Atmtn Co Ltd,0.0019211744870131075,3415,6,0,1,0,3,0,8,0,0,2,0
Ixia,0.0018592484374700471,5665,10,0,0,0,0,0,1,0,0,226,2
E Ink Holdings Inc,0.0018492533534860505,3911,9,0,0,0,34,7,12,0,0,0,0
Woori Technology Incorporation,0.0018492058055623174,2462,7,0,1,0,0,2,1,0,0,11,0
"KURAMOTO CO., LTD.",0.0018456765692203194,2303,12,0,1,0,4,0,4,0,0,0,0
YOUNYI Information Communication,0.0017937891611537373,2507,7,0,1,0,24,0,0,0,0,4,0
Kuangli Photoelectric Technology Co Ltd,0.0016941690764486963,2872,9,0,1,0,15,0,0,0,0,5,0
"Routon Electronic Co., Ltd.",0.0016854517005719244,3732,9,0,1,0,63,0,0,0,0,8,0
Okins Electronics Co Ltd,0.0016744835053654405,1663,8,0,0,0,43,3,0,0,0,30,0
"TDG Holding  Co., Ltd.",0.0016636014810374998,2519,12,0,0,0,39,2,6,0,0,12,0
ThuDuc Electro Mechanical JSC,0.0016531672454235427,5215,10,0,0,0,3,2,23,0,0,5,0
Advance Metering Technology Ltd,0.0016371525748714582,3767,6,0,0,0,0,2,21,0,0,9,0
Shenzhen Everwin Precision Technology Co,0.0016240747930067571,2155,6,0,1,0,25,1,2,0,0,2,0
Di-Nikko Engineering Co Ltd,0.0016178698624513181,2294,8,0,0,0,37,1,4,0,0,10,0
Abico FS Co Ltd,0.0016106994729695495,4072,10,0,1,0,13,0,1,0,0,8,0
Wuhan Guodian-Wu Yi Electric Co Ltd,0.0016046555226035893,17260,11,0,0,0,53,12,46,0,0,104,1
Exicon Co Ltd (Parent),0.0015423239148163292,5877,10,0,0,0,0,0,1,0,0,25,1
Universal Scientfc Industrl Shngh Co Ltd,0.001537598387182695,3748,10,0,1,0,25,1,0,0,0,10,0
Sysmex Corp,0.0014931293594618138,4146,14,0,0,0,3,10,1,0,0,24,0
"InnoChips Technology Co., Ltd.",0.001487781780012644,1818,7,0,0,0,17,2,3,0,0,3,0
USHIO INC.,0.001459654072080038,5173,14,0,0,0,3,2,8,0,2,2,0
Silitech Technology Corporation,0.0013976919920031471,2804,9,0,1,0,4,1,0,0,0,2,0
Daiwa Associate Holdings Limited,0.0013866918900077713,3809,9,0,1,0,29,0,2,0,0,5,0
Accelerate Diagnostics Inc,0.0013691265543258546,2783,10,0,0,0,0,9,0,0,0,27,0
Richwave Technology Corp,0.0013551179880961137,3355,12,0,0,0,6,0,13,0,0,4,0
"Jiangxi sanchuan water meter CO., LTD.",0.0013084002668570154,1953,8,0,0,0,2,0,0,0,1,3,0
Waffer Technology Corp,0.001293980020660825,3287,9,0,1,0,6,0,0,0,0,5,0
Industronics Berhad,0.0012799758917811837,2818,8,0,0,0,37,3,2,0,0,5,0
Wuhan Fingu Electronic Technology Co,0.0012643354415793192,3925,7,0,1,0,51,2,1,0,0,2,0
"Zhejiang Nanyang Technology Co.,Ltd.",0.0012112884442284498,2172,8,0,0,0,13,0,8,0,0,1,0
CTS Corporation,0.0012089391275629596,3017,8,0,0,0,27,0,8,0,0,14,0
Global Lighting Technologies  Inc,0.0011953529000059734,2541,10,0,0,0,9,1,6,0,0,13,0
ADDA CORP,0.00118396270681959,3058,9,0,0,0,28,0,10,0,0,6,0
CombiMatrix Corp,0.0011653890842406231,6258,12,0,0,0,0,13,2,0,0,46,0
INESA Electron Co Ltd,0.0011518831655362223,5062,9,0,0,0,43,6,1,0,0,3,0
"Ty-ohm Electronic Works Co., Ltd.",0.0011398343988194243,3246,13,0,0,0,56,1,6,0,0,1,0
