name,score,document_length,url_count,electronic,interface 
ARGO GRAPHICS Inc.,0.0009622998101031801,4367,9,4,0
Alphinat Inc,0.0009599586659215426,5015,12,4,0
Streamline Health Solutions Inc.,0.0009507562301507454,3896,7,4,0
FullNet Communications Inc,0.0009239112198123668,3440,11,3,0
Shanghai Huahong Jtng Smrt Systm Co Ltd,0.0009007881101435156,3120,7,3,0
Information & Networking Technology JSC,0.0008852491124089221,4685,9,4,0
Shandong Donsun intelligent trnsn crp Ld,0.0008672280380466819,33304,6,11,2
Shanghai Baihong Soft Technology Co Ltd,0.000841623494498871,8367,10,10,0
Gromo Trade & Consultancy Ltd,0.0008238811623448577,4163,9,3,0
Fujian Boss Software Development Co Ltd,0.0007768074347748354,4951,10,3,0
GFI Informatique SA,0.000625679519856824,4826,9,3,0
"China Digital TV Holding Co., Ltd.(ADR)",0.0006026060404903092,5548,8,3,0
Jiangsu Ani Information Technolgy Co Ltd,0.0005886476125945307,10678,8,12,0
INFOCOM CORPORATION,0.0005272883879030134,6741,9,3,0
Beijing Zhonghaijiyuan Dgtl Tech Dvp Co,0.0004551850577296625,57214,3,83,0
"DST Systems, Inc.",0.0003787660699995661,7507,13,4,0
asknet AG,0.0002826117938055029,1699,10,1,0
GMO Cloud KK,0.000222481364663132,1663,6,1,0
Shanghai 2345 Network Holding Grp Co Ltd,0.00019150833427171763,2985,9,1,0
Gfinity PLC,0.00017175299804758404,4279,7,1,0
Beijing Lanxum Technology Co Ltd,0.00016450410568471762,3445,9,1,0
Shenzhen Huapengfei Modern Logist,0.00016253909953573307,2341,9,1,0
GB Group plc,0.00015245356872268858,3342,10,1,0
AppFolio Inc,0.00013648682627811652,3172,9,1,0
Al Faris National Investments Company,0.00012904305754843793,4191,8,1,0
CORE CORPORATION,0.00012609931550735268,5071,14,1,0
3TL Technologies Corp,0.00012526952300340042,3895,9,1,0
Advanced Environmental Petrolm Prdcr Inc,0.00011360512038487947,6047,7,1,0
Shenzhen Prolto Supply Chain Mgt Co Ltd,0.00010806426324840768,4613,9,1,0
Changyou.Com Ltd (ADR),0.0001066619662283145,5915,9,1,0
Logikom AO,8.580459926897404e-05,7756,9,1,0
Intralinks Holdings Inc,8.245472681022306e-05,7494,12,1,0
Black Knight Financial Services Inc,8.230538428519044e-05,6527,11,1,0
